DATA E HORA UTC;CHUVA (mm);NIVEL (m);CHUVA CORRIGIDA;NIVEL CORRIGIDO;EXTRAVASAMENTO
04/01/2012 18:30;0;0,30;0;0,48;NÃO
04/01/2012 18:45;0;0,30;0;0,48;NÃO
04/01/2012 19:00;0;0,30;0;0,48;NÃO
04/01/2012 19:15;0;0,30;0;0,48;NÃO
04/01/2012 19:30;0;0,30;0;0,48;NÃO
04/01/2012 19:45;0;0,30;0;0,48;NÃO
04/01/2012 20:00;0;0,30;0;0,48;NÃO
04/01/2012 20:15;0;0,30;0;0,48;NÃO
04/01/2012 20:30;0;0,30;0;0,48;NÃO
04/01/2012 20:45;0;0,30;0;0,48;NÃO
04/01/2012 21:00;0;0,30;0;0,48;NÃO
04/01/2012 21:15;0;0,30;0;0,48;NÃO
04/01/2012 21:30;0;0,30;0;0,48;NÃO
04/01/2012 21:45;0;0,30;0;0,48;NÃO
04/01/2012 22:00;0;0,30;0;0,48;NÃO
04/01/2012 22:15;0;0,30;0;0,48;NÃO
04/01/2012 22:30;0;0,30;0;0,48;NÃO
04/01/2012 22:45;0;0,30;0;0,48;NÃO
04/01/2012 23:00;0;0,30;0;0,48;NÃO
04/01/2012 23:15;0;0,30;0;0,48;NÃO
04/01/2012 23:30;0;0,30;0;0,48;NÃO
04/01/2012 23:45;0;0,30;0;0,48;NÃO
05/01/2012 00:00;0;0,30;0;0,48;NÃO
05/01/2012 00:15;0;0,30;0;0,48;NÃO
05/01/2012 00:30;0;0,30;0;0,48;NÃO
05/01/2012 00:45;0;0,30;0;0,48;NÃO
05/01/2012 01:00;0;0,30;0;0,48;NÃO
05/01/2012 01:15;0;0,30;0;0,48;NÃO
05/01/2012 01:30;0;0,30;0;0,48;NÃO
05/01/2012 01:45;0;0,30;0;0,48;NÃO
05/01/2012 02:00;0;0,30;0;0,48;NÃO
05/01/2012 02:15;0;0,30;0;0,48;NÃO
05/01/2012 02:30;0;0,30;0;0,48;NÃO
05/01/2012 02:45;0;0,30;0;0,48;NÃO
05/01/2012 03:00;0;0,30;0;0,48;NÃO
05/01/2012 03:15;0;0,30;0;0,48;NÃO
05/01/2012 03:30;0;0,31;0;0,49;NÃO
05/01/2012 03:45;0;0,30;0;0,48;NÃO
05/01/2012 04:00;0;0,30;0;0,48;NÃO
05/01/2012 04:15;0;0,30;0;0,48;NÃO
05/01/2012 04:30;0;0,30;0;0,48;NÃO
05/01/2012 04:45;0;0,30;0;0,48;NÃO
05/01/2012 05:00;0;0,30;0;0,48;NÃO
05/01/2012 05:15;0;0,31;0;0,49;NÃO
05/01/2012 05:30;0;0,30;0;0,48;NÃO
05/01/2012 05:45;0;0,30;0;0,48;NÃO
05/01/2012 06:00;0;0,30;0;0,48;NÃO
05/01/2012 06:15;0;0,30;0;0,48;NÃO
05/01/2012 06:30;0;0,30;0;0,48;NÃO
05/01/2012 06:45;0;0,30;0;0,48;NÃO
05/01/2012 07:00;0;0,30;0;0,48;NÃO
05/01/2012 07:15;0;0,30;0;0,48;NÃO
05/01/2012 07:30;0;0,30;0;0,48;NÃO
05/01/2012 07:45;0;0,30;0;0,48;NÃO
05/01/2012 08:00;0;0,30;0;0,48;NÃO
05/01/2012 08:15;0;0,30;0;0,48;NÃO
05/01/2012 08:30;0;0,30;0;0,48;NÃO
05/01/2012 08:45;0;0,30;0;0,48;NÃO
05/01/2012 09:00;0;0,30;0;0,48;NÃO
05/01/2012 09:15;0;0,31;0;0,49;NÃO
05/01/2012 09:30;0;0,30;0;0,48;NÃO
05/01/2012 09:45;0;0,30;0;0,48;NÃO
05/01/2012 10:00;0;0,30;0;0,48;NÃO
05/01/2012 10:15;0;0,30;0;0,48;NÃO
05/01/2012 10:30;0;0,30;0;0,48;NÃO
05/01/2012 10:45;0;0,30;0;0,48;NÃO
05/01/2012 11:00;0;0,30;0;0,48;NÃO
05/01/2012 11:15;0;0,30;0;0,48;NÃO
05/01/2012 11:30;0;0,30;0;0,48;NÃO
05/01/2012 11:45;0;0,30;0;0,48;NÃO
05/01/2012 12:00;0;0,30;0;0,48;NÃO
05/01/2012 12:15;0;0,30;0;0,48;NÃO
05/01/2012 12:30;0;0,30;0;0,48;NÃO
05/01/2012 12:45;0;0,30;0;0,48;NÃO
05/01/2012 13:00;0;0,30;0;0,48;NÃO
05/01/2012 13:15;0;0,30;0;0,48;NÃO
05/01/2012 13:30;0;0,30;0;0,48;NÃO
05/01/2012 13:45;0;0,30;0;0,48;NÃO
05/01/2012 14:00;0;0,30;0;0,48;NÃO
05/01/2012 14:15;0;0,30;0;0,48;NÃO
05/01/2012 14:30;0;0,30;0;0,48;NÃO
05/01/2012 14:45;0;0,30;0;0,48;NÃO
05/01/2012 15:00;0;0,30;0;0,48;NÃO
05/01/2012 15:15;0;0,30;0;0,48;NÃO
05/01/2012 15:30;0;0,30;0;0,48;NÃO
05/01/2012 15:45;0;0,30;0;0,48;NÃO
05/01/2012 16:00;0;0,30;0;0,48;NÃO
05/01/2012 16:15;0;0,30;0;0,48;NÃO
05/01/2012 16:30;0;0,29;0;0,47;NÃO
05/01/2012 16:45;0;0,30;0;0,48;NÃO
05/01/2012 17:00;0;0,30;0;0,48;NÃO
05/01/2012 17:15;0;0,30;0;0,48;NÃO
05/01/2012 17:30;0;0,30;0;0,48;NÃO
05/01/2012 17:45;0;0,30;0;0,48;NÃO
05/01/2012 18:00;0;0,30;0;0,48;NÃO
05/01/2012 18:15;0;0,30;0;0,48;NÃO
05/01/2012 18:30;0;0,30;0;0,48;NÃO
05/01/2012 18:45;0;0,30;0;0,48;NÃO
05/01/2012 19:00;0;0,30;0;0,48;NÃO
05/01/2012 19:15;0;0,30;0;0,48;NÃO
05/01/2012 19:30;0;0,30;0;0,48;NÃO
05/01/2012 19:45;0;0,30;0;0,48;NÃO
05/01/2012 20:00;0;0,30;0;0,48;NÃO
05/01/2012 20:15;0;0,30;0;0,48;NÃO
05/01/2012 20:30;0;0,30;0;0,48;NÃO
